|rknn|,knn,rknn
10,"[(0.9999917075886224, 9494), (0.999988965657734, 3176), (0.9999862811447048, 117), (0.9999642793373211, 8397), (0.9999530208989651, 8215), (0.9999471848206861, 3897), (0.9999395308921162, 9411), (0.9999204872433927, 1873), (0.9999118362480667, 8665), (0.9998851020760313, 4648)]","[117, 1873, 3176, 3897, 7731, 8215, 8397, 8665, 9411, 9494]"
9,"[(0.9999724737383975, 8682), (0.99996187069871, 6419), (0.9999529616967235, 6568), (0.9999377930064467, 332), (0.9999049850014894, 7750), (0.999897213926848, 280), (0.9998549024983926, 9442), (0.9998307577604914, 8290), (0.9998078835006567, 8446), (0.9997564863604448, 7695)]","[280, 332, 6419, 6568, 7695, 7750, 8446, 8682, 9442]"
11,"[(0.9999205281553769, 4440), (0.9988222867160107, 7057), (0.9976990514676365, 1083), (0.9971974313936119, 655), (0.9966827255101842, 4806), (0.9966740648597388, 8645), (0.9963565030640996, 612), (0.9958299791122426, 8942), (0.9941522705872056, 3854), (0.9940683500794489, 3263)]","[612, 655, 1083, 4440, 4806, 6611, 7057, 8592, 8645, 8942, 9519]"
7,"[(0.9998747930833101, 2673), (0.9997643090993616, 568), (0.9997537424313235, 6682), (0.9997281872909209, 6123), (0.9995856852956476, 6478), (0.9994863165765899, 7506), (0.999328639145875, 2772), (0.9992902340135693, 5976), (0.9991962519387367, 7508), (0.9990855226463997, 3568)]","[568, 2673, 2772, 6123, 6478, 6682, 7506]"
12,"[(0.999988366315753, 1891), (0.9999861065929078, 5900), (0.9999749396000297, 4839), (0.9999729763888987, 1828), (0.9999591531518204, 5975), (0.9999540908472411, 6005), (0.9999494945054029, 4325), (0.9999443805418625, 4149), (0.9999391224890007, 2244), (0.9999340613720431, 9373)]","[479, 1828, 1891, 2244, 4149, 4325, 4839, 5121, 5900, 5975, 6005, 7994]"
9,"[(0.999999599808042, 3367), (0.9999976993396237, 2844), (0.9999936612488936, 7710), (0.99997784466623, 5043), (0.999973546789968, 9163), (0.9999472029373729, 2697), (0.9999332405610221, 2490), (0.9999176010551207, 6417), (0.9999050631376182, 3881), (0.9999037224662789, 1947)]","[2490, 2697, 2844, 3367, 3881, 5043, 6417, 7710, 9163]"
10,"[(0.9999997356454403, 34), (0.9999522178342211, 1811), (0.9999378951666588, 5456), (0.9999252004185113, 1614), (0.9999058487993877, 6294), (0.9998627733535808, 1074), (0.9997412722669553, 1635), (0.9997358557350157, 5711), (0.9997224299063932, 2350), (0.9997091951360672, 5855)]","[34, 1074, 1614, 1771, 1811, 5456, 5711, 6294, 7109, 8621]"
6,"[(0.9999761156667994, 2900), (0.9998935593793206, 6227), (0.9998572897057776, 8148), (0.9998202003287294, 8257), (0.99981449482018, 5457), (0.999736914559126, 5637), (0.9997269712471952, 2595), (0.9997186708691723, 5420), (0.9996827701593094, 7042), (0.9996502713438681, 6867)]","[2900, 5457, 6227, 7042, 8148, 8257]"
8,"[(0.999986427926355, 6219), (0.9998422458469369, 1590), (0.9993927807543801, 5367), (0.9992593643363566, 9437), (0.9991967192449125, 1314), (0.9991573734048351, 7183), (0.9991421572218726, 1279), (0.9990506539334868, 8098), (0.9990382178186024, 7475), (0.9989957720361277, 3655)]","[1590, 3655, 3677, 5941, 6219, 7438, 8451, 9437]"
8,"[(0.9999851055508719, 388), (0.9999810816759176, 5562), (0.9999589268938515, 9760), (0.9999515936517347, 6667), (0.9999234921730557, 1109), (0.9999122542461452, 9095), (0.999834779044547, 8807), (0.9998317037988143, 41), (0.9998269601639828, 9616), (0.9998152384783326, 9440)]","[388, 1109, 5562, 6667, 8807, 9095, 9616, 9760]"
9,"[(0.9999998367028535, 3181), (0.9999924087437534, 7078), (0.9999801238415068, 6799), (0.9999706202881279, 3971), (0.9999652720840492, 5194), (0.9999647936578719, 9023), (0.9999580945462919, 5008), (0.9999337431622279, 4120), (0.999915961041706, 4294), (0.9998798225965607, 2326)]","[3181, 3971, 4294, 5008, 5194, 5959, 6799, 7078, 9023]"
10,"[(0.9999977602210659, 2307), (0.9999721159708764, 1573), (0.9998574627137773, 4590), (0.9998143260697985, 1063), (0.9997836898295095, 7190), (0.9997047899131537, 3079), (0.9996890288604702, 3240), (0.9996775427848821, 2722), (0.9996179598493807, 1080), (0.9994899435083505, 2529)]","[1063, 1573, 2307, 2722, 3079, 3240, 4590, 7190, 7758, 9351]"
12,"[(0.9999939084403695, 5347), (0.9999497299588027, 7077), (0.9999460319660294, 2712), (0.9999051872981884, 7706), (0.9998908745532633, 9498), (0.9998459529577731, 8927), (0.9998161385588541, 5772), (0.9998076291808751, 4309), (0.9998060480104963, 13), (0.9997999614716401, 2127)]","[13, 2685, 2712, 4309, 5179, 5347, 7077, 7452, 7706, 8927, 9498, 9934]"
10,"[(0.9999941677409897, 6193), (0.999992180650485, 7425), (0.9999876160269715, 1364), (0.999977741179408, 7450), (0.9999748578474249, 5629), (0.9999472298913931, 3503), (0.9999199189202461, 8811), (0.9999167745385105, 9304), (0.9999084868842346, 1457), (0.9999029164825747, 8263)]","[1364, 1457, 3503, 5629, 6193, 7425, 7450, 8777, 8811, 9304]"
10,"[(0.9999787765752289, 3733), (0.9998291520211086, 4008), (0.9998158463026596, 9126), (0.9997208581497747, 1118), (0.999718970875275, 4686), (0.9996909142705522, 7868), (0.9996656842851823, 4830), (0.9996219360560972, 1094), (0.9996116575408495, 7345), (0.9996054184410456, 7824)]","[1094, 1118, 3733, 4008, 4686, 5468, 7345, 7824, 7868, 9126]"
12,"[(0.9999955273666135, 7258), (0.9999188970442279, 8600), (0.9997994201126894, 8571), (0.9997936248633567, 3469), (0.9996815784879094, 618), (0.999622998624413, 7699), (0.9993363321520062, 9584), (0.9993337651330411, 1278), (0.9993118196138371, 8316), (0.99903037378978, 1154)]","[618, 1154, 1278, 3469, 4772, 7258, 7400, 7699, 8316, 8571, 8600, 9584]"
15,"[(0.9999980319843216, 1927), (0.9999927818197316, 1996), (0.9999913111034554, 7478), (0.9999380806907984, 7779), (0.999934895171425, 732), (0.9999307312218843, 1115), (0.9998838903069678, 1539), (0.999868161521245, 1783), (0.9998543510255082, 6879), (0.9998347213200989, 8828)]","[732, 1115, 1539, 1783, 1927, 1996, 6691, 6734, 6879, 7478, 7779, 8312, 8828, 9029, 9241]"
14,"[(0.9999805502647027, 7307), (0.9999110884323346, 9354), (0.999828676477883, 310), (0.9998064564393243, 1845), (0.9997553513197861, 6254), (0.9997078552185226, 1709), (0.9996996315835195, 8611), (0.9996119854029675, 9227), (0.9996088316658941, 4279), (0.9995964414184956, 1661)]","[310, 1661, 1709, 1845, 2988, 4070, 4279, 4549, 6254, 6339, 7307, 8611, 9227, 9354]"
10,"[(0.9999534008533673, 4602), (0.9999506205643992, 6928), (0.9999336027832176, 3165), (0.9998925987403435, 3185), (0.9998875484534901, 6189), (0.9998558760210635, 6687), (0.99982012424656, 6626), (0.9998191267743807, 9122), (0.9998059397385544, 972), (0.9997310606126709, 6963)]","[299, 3165, 3185, 3695, 4602, 6189, 6626, 6687, 6928, 9122]"
10,"[(0.9998644339520951, 2521), (0.9997671103704278, 4324), (0.9997076877213543, 9330), (0.9997069152751824, 6578), (0.9996665212267063, 3380), (0.9996469835140267, 144), (0.9996398688644088, 996), (0.9994382443425116, 844), (0.9994103101325387, 6950), (0.9994051149218303, 5665)]","[144, 996, 2521, 3380, 4324, 6421, 6578, 7837, 9330, 9692]"
8,"[(0.999999877176386, 5217), (0.9997328409336069, 4244), (0.9994690535228089, 4289), (0.999456498254549, 2770), (0.9994281350392988, 6718), (0.9992394881646075, 9694), (0.999170935623564, 539), (0.9988119235836813, 2485), (0.9986416124948863, 3705), (0.9984233858011715, 1227)]","[539, 2770, 3705, 4244, 4289, 5217, 6718, 9694]"
10,"[(0.9999671876565027, 907), (0.9999608492463371, 7764), (0.9999258168435193, 4486), (0.9999065040932595, 6081), (0.9999020822373101, 6926), (0.9998745397767983, 2470), (0.999798238629125, 4432), (0.9997531568864088, 1844), (0.9997278490637738, 9497), (0.9996825402595465, 7589)]","[907, 1844, 2470, 4432, 4486, 6081, 6926, 7589, 7764, 9497]"
2,"[(0.9990997529010036, 9404), (0.9986413746635125, 2940), (0.9979172628420439, 2384), (0.9974691850816667, 1941), (0.9970841715963386, 5029), (0.9965137953566205, 2600), (0.996473995165355, 8676), (0.9963459648211909, 1557), (0.9955011109031768, 8615), (0.995479864654531, 6066)]","[2384, 9404]"
9,"[(0.9998858324972315, 6718), (0.9997427450219459, 5217), (0.9997328409336069, 4241), (0.9992597114216346, 539), (0.9991741255233195, 2770), (0.9989627172163439, 9694), (0.9989415710915333, 2848), (0.9987061466582032, 7741), (0.9985400821114709, 4289), (0.9983604904675549, 1812)]","[53, 539, 2770, 2848, 4241, 4289, 5217, 6718, 7741]"
12,"[(0.9999913605539373, 1264), (0.9999908365896638, 2335), (0.9999888764748881, 7001), (0.9999332665696546, 333), (0.9999240877530151, 6406), (0.9999220623204372, 1965), (0.9998739556880799, 9244), (0.9998678409442706, 4845), (0.9998355655052074, 9930), (0.9998074217990415, 4803)]","[333, 1264, 1965, 2335, 4803, 4845, 6278, 6406, 7001, 9244, 9600, 9930]"
7,"[(0.999100889905699, 3491), (0.9976557629972554, 1986), (0.997460597468246, 3441), (0.9966175308060918, 19), (0.9959994925507187, 723), (0.995890208110901, 6233), (0.9958713278467984, 9249), (0.9958214279393045, 7669), (0.9957416386864885, 8890), (0.9952032164764006, 5074)]","[723, 1986, 3441, 3491, 7669, 8890, 9249]"
7,"[(0.9999556728687435, 4524), (0.9997028777184883, 4601), (0.9996364033228934, 747), (0.9996095528878174, 7356), (0.999534889961409, 4532), (0.999241431920518, 6058), (0.9985981366193921, 5030), (0.9984554135999242, 2734), (0.9983603705308906, 2357), (0.9981885483745243, 4398)]","[747, 4524, 4532, 4601, 5030, 6058, 7356]"
11,"[(0.9999981854665858, 6689), (0.9999902704938147, 8436), (0.999977155770698, 2400), (0.9999552124848093, 4205), (0.9999543767164216, 7480), (0.9999515623873357, 5464), (0.999948045899022, 5761), (0.999947263836079, 3590), (0.9999441973051989, 8875), (0.9999417105637364, 9514)]","[2400, 3590, 4205, 4213, 5464, 5761, 6689, 7480, 8436, 8875, 9514]"
13,"[(0.9997842778000415, 4275), (0.9991283797293, 5084), (0.9989942652194569, 8020), (0.9989474475564809, 387), (0.9984010876942517, 3646), (0.9978367007693824, 8399), (0.9975506020274155, 2208), (0.9974686054629738, 5823), (0.9971154318612281, 4538), (0.996133163677255, 2040)]","[387, 2208, 3498, 3646, 4275, 4538, 4982, 5084, 5224, 7910, 8020, 8399, 9992]"
10,"[(0.9999831205982527, 6610), (0.9997983988069552, 3594), (0.9997289796462236, 8983), (0.9990431617542469, 5010), (0.9988945376615597, 7005), (0.9984793346913038, 3201), (0.9983209876373971, 3347), (0.9982428116910265, 2441), (0.9970677540473168, 2505), (0.9967641317171815, 6297)]","[2441, 2505, 3201, 3347, 3594, 5010, 6297, 6610, 7005, 8983]"
14,"[(0.9999677607266252, 7812), (0.9999558207127036, 6797), (0.9999354247562686, 4840), (0.9999227904130463, 2596), (0.9999145815817013, 6934), (0.9998777479165272, 2590), (0.9998742674573176, 2854), (0.9998679627971696, 8952), (0.999856314964618, 213), (0.9998214869874941, 6619)]","[213, 2590, 2596, 2854, 3061, 3395, 4840, 6797, 6934, 7366, 7812, 8426, 8952, 9605]"
6,"[(0.9999982321284537, 2863), (0.999903490601308, 1025), (0.9997837589327062, 370), (0.9994155179840409, 2937), (0.9984907090581923, 3114), (0.9983563713152774, 378), (0.9981440762232147, 6968), (0.9979720654139609, 8294), (0.9978113920495111, 6662), (0.9973566365694784, 1249)]","[370, 378, 1025, 2863, 2937, 3114]"
13,"[(0.9999999923469722, 5137), (0.999974190109903, 65), (0.9999713732514398, 8144), (0.9999704774009472, 9117), (0.9999662270175375, 3423), (0.9999380647905983, 9729), (0.9999364114106833, 6162), (0.9999335779785269, 2826), (0.9999031032390681, 2249), (0.9998906573531445, 9925)]","[65, 367, 1286, 2249, 2826, 3423, 3811, 5137, 6162, 8144, 9117, 9729, 9925]"
8,"[(0.9999715715869263, 5934), (0.999821196300534, 9034), (0.9997343161310385, 8318), (0.999509188000148, 4468), (0.9994339715333782, 6586), (0.9994222123550568, 7338), (0.9994194518330132, 7296), (0.999384751074249, 5089), (0.9993676923066961, 8794), (0.99931957230342, 7767)]","[449, 5089, 5743, 5934, 6586, 7767, 8318, 9034]"
9,"[(0.9999768926618307, 5085), (0.999966964916082, 8831), (0.9999622974869553, 9525), (0.9999613649625494, 6180), (0.9999548170946831, 0), (0.9999390241987512, 8190), (0.9999374436879304, 8104), (0.999916269652239, 5219), (0.999913911155507, 8085), (0.9999137755818728, 3785)]","[0, 1151, 3376, 5085, 6180, 8104, 8190, 8831, 9525]"
11,"[(0.9999440509890519, 8273), (0.9998174392929943, 120), (0.9997582410066489, 1194), (0.9994240521592994, 4831), (0.999173483202816, 89), (0.999163620229385, 8550), (0.9988279339880326, 1390), (0.998740990683985, 2876), (0.9987073512966387, 7644), (0.9986633620151721, 8294)]","[89, 120, 1194, 1390, 2876, 4831, 7644, 8273, 8294, 8537, 8550]"
8,"[(0.9999935403439307, 3628), (0.9999875011793354, 4452), (0.9999856535304598, 1351), (0.9999789816145228, 556), (0.9999723514148002, 7821), (0.9999448223292291, 3635), (0.9999348761817345, 5735), (0.9999318602252947, 1674), (0.9999284397904036, 5482), (0.9999146824307945, 1125)]","[556, 1351, 3628, 4272, 4452, 7719, 7821, 8889]"
7,"[(0.9998344139375209, 5672), (0.9997122632438111, 2454), (0.9995130419953422, 129), (0.9994590366811783, 2461), (0.9994393271591432, 2424), (0.9993260530533586, 3604), (0.9992332672307851, 8601), (0.9991709242984164, 8832), (0.9991105240279191, 4146), (0.9990768776374223, 1879)]","[129, 985, 2454, 2461, 5672, 8601, 8832]"
9,"[(0.9999946496329556, 6341), (0.9999361319379697, 1504), (0.9997439134925511, 9954), (0.9996136593504236, 8801), (0.9995980176919502, 2397), (0.9995352617151251, 6279), (0.999425450388483, 5550), (0.999274542378264, 9506), (0.9991222217072165, 8524), (0.9991211955821674, 7240)]","[1504, 2397, 5550, 6279, 6341, 7240, 8801, 9506, 9954]"
11,"[(0.9999996178607209, 9300), (0.9999934407515627, 8116), (0.9999868588090398, 4497), (0.9999725300929764, 2161), (0.9999670961694029, 5303), (0.9999274125502524, 8933), (0.9999272545333231, 5779), (0.9999147476080072, 1951), (0.9999013725902969, 2762), (0.9998811782515865, 6872)]","[1951, 2161, 2762, 4109, 4497, 5303, 5779, 6872, 8116, 8933, 9300]"
9,"[(0.9999888225958026, 2745), (0.9999680948248109, 2364), (0.9999661354060739, 1793), (0.999959817440583, 4856), (0.9999444538995722, 5632), (0.9999317419146174, 5365), (0.9999227872309685, 3869), (0.9999190131771493, 6779), (0.9998717067572186, 5268), (0.9998654666551425, 5287)]","[1645, 1793, 2364, 2745, 4856, 5287, 5365, 5632, 6779]"
13,"[(0.9999968135959331, 3414), (0.9999929039312753, 6395), (0.999986337252504, 2825), (0.999974686484676, 1735), (0.999969360616315, 7304), (0.9999495069036365, 8470), (0.99993037646409, 9764), (0.9999300744995894, 7901), (0.9999206182471151, 8901), (0.9999162251044277, 9365)]","[1211, 1735, 2825, 3414, 6017, 6395, 6764, 7304, 7638, 7901, 8470, 9365, 9811]"
8,"[(0.9999920667274508, 1176), (0.9999399387139902, 9456), (0.9998730512922164, 6803), (0.9998371790561875, 3752), (0.9998283173517224, 1967), (0.9998096201025714, 5249), (0.9997599401641298, 9161), (0.9996973885642001, 6733), (0.9996916384513024, 6680), (0.9996500693152164, 7510)]","[1176, 1967, 3752, 4899, 5249, 6733, 6803, 9456]"
9,"[(0.9999855747386885, 9911), (0.9999842309272056, 8135), (0.9999727588756667, 211), (0.9999153721758023, 4862), (0.9998936435351945, 8932), (0.9998865016980203, 8707), (0.9998816938222792, 9067), (0.999871661649058, 7440), (0.9998470875786819, 2849), (0.9998298721772759, 8576)]","[211, 2849, 4862, 7440, 8135, 8707, 8932, 9911, 9966]"
8,"[(0.9999875574212131, 3535), (0.9999792875794807, 2686), (0.999954152883713, 5115), (0.999938863288689, 9504), (0.9999333810309061, 4382), (0.9999069544289441, 1594), (0.9998951276732315, 5901), (0.9998805339764502, 2756), (0.9998664433790136, 3057), (0.9998645686359516, 1634)]","[2686, 3535, 4382, 4581, 4953, 5115, 5901, 9504]"
7,"[(0.9999867163995636, 6004), (0.999960669156772, 6362), (0.9999585367972041, 5566), (0.9998667946448814, 9049), (0.9997543958079674, 4465), (0.9996456565190638, 5387), (0.9995112043876718, 714), (0.9994860983075663, 7877), (0.9994590666549849, 9866), (0.9993568537226262, 9799)]","[714, 4465, 5566, 6004, 6362, 9049, 9866]"
11,"[(0.9999716737763922, 1495), (0.9999702228625099, 1696), (0.9999442940560795, 1257), (0.9999052624432729, 7447), (0.9998466451629431, 8264), (0.9998366612583701, 5201), (0.9997508319241443, 2768), (0.9997478750136324, 364), (0.9996971442545911, 6134), (0.9996759531794943, 7522)]","[364, 1257, 1495, 1696, 2768, 5201, 5345, 5588, 6134, 7447, 8264]"
9,"[(0.9999936700908839, 2188), (0.999932105999938, 9501), (0.9999177574473282, 3974), (0.9998334177477273, 3973), (0.9998251394425952, 8213), (0.9998118507821995, 2840), (0.9997934688033796, 184), (0.9996941905165051, 3559), (0.9995784608071369, 1843), (0.9994502154990614, 6376)]","[184, 2188, 2840, 3973, 3974, 6376, 8213, 8627, 9501]"
14,"[(0.9999938612844678, 5141), (0.9999873705050971, 7035), (0.9999776818654575, 3197), (0.9999517846867557, 932), (0.9999436920605637, 7965), (0.9999376550983098, 4860), (0.9999346867585924, 518), (0.9999223553775249, 8075), (0.9999211150160701, 3743), (0.9999155702917304, 2885)]","[398, 518, 932, 2235, 2885, 3197, 3308, 3480, 3743, 4860, 5141, 7035, 7965, 8075]"
7,"[(0.9999951436483904, 7949), (0.9999923690915378, 4629), (0.9999845167940244, 5658), (0.9999558459466431, 3749), (0.999936902770354, 2741), (0.9999214393133824, 1102), (0.9999154014182857, 5935), (0.99990514607066, 7618), (0.9998953286238614, 7614), (0.9998930637580018, 5936)]","[1102, 3749, 4629, 5658, 6754, 7618, 7949]"
10,"[(0.9998904844896296, 8610), (0.9998263275575914, 70), (0.9997656034919181, 8798), (0.9997534016834513, 5016), (0.9997400092390908, 4346), (0.9995895205404897, 9719), (0.999527355187465, 2065), (0.9995161485630983, 1047), (0.9995126009912335, 7135), (0.9994993600926536, 9271)]","[70, 1047, 2065, 4346, 5016, 5076, 8610, 8798, 8971, 9719]"
5,"[(0.9999740680349138, 4966), (0.9999419357869179, 1091), (0.9999410422959619, 4452), (0.9999269200255344, 1125), (0.9999048763432506, 1674), (0.9998932173596424, 5040), (0.9998882006294284, 4257), (0.9998705048625086, 9726), (0.9998464793063006, 1248), (0.9998415885354333, 5735)]","[1091, 1125, 4452, 4966, 8889]"
7,"[(0.9999190019231838, 1279), (0.9998027801576808, 5851), (0.9997225014690422, 5941), (0.9997175932950499, 1314), (0.9996996453473302, 7438), (0.9993590462933115, 3677), (0.9993135345715537, 5367), (0.9990384322333977, 7183), (0.9989391405989776, 1590), (0.9988436482501827, 5849)]","[1279, 1314, 3655, 3677, 5851, 5941, 7438]"
13,"[(0.9999983470871407, 2763), (0.9999862767340507, 5555), (0.9999862703726073, 6951), (0.9999837903039086, 5722), (0.999978776224276, 1552), (0.9999787585437077, 2306), (0.9999750379353256, 4868), (0.9999693170941295, 7939), (0.999966148793292, 9250), (0.999948775094699, 3570)]","[626, 1552, 2306, 2670, 2763, 3570, 4129, 4868, 5555, 5722, 6951, 7939, 9250]"
12,"[(0.9997842778000415, 4249), (0.9995040114186607, 8020), (0.9980476005318183, 5084), (0.997816897709736, 387), (0.9976407254604419, 2208), (0.9975024185111756, 4982), (0.997306349094747, 3646), (0.9972082365785008, 3498), (0.9963988758948764, 5823), (0.9963913905163986, 4538)]","[387, 2208, 3498, 3646, 4249, 4631, 4982, 5084, 5224, 6030, 8020, 9992]"
6,"[(0.9999433236915293, 2222), (0.999630119593867, 2674), (0.9991434551625141, 1535), (0.9990923233938228, 1765), (0.998684550899313, 3919), (0.9985742857460231, 4723), (0.9984971613742767, 6486), (0.9983794279877074, 4606), (0.998372506860948, 5831), (0.99834157014117, 2899)]","[1535, 1765, 2222, 2674, 4606, 7786]"
7,"[(0.9999848606351663, 5090), (0.99997487560589, 2811), (0.9999685339941513, 1626), (0.9999528965605072, 5066), (0.9999236288809408, 8058), (0.9998350638335797, 4512), (0.9998060027425291, 1683), (0.9997917576882299, 9355), (0.9997394513611118, 8693), (0.9997343247809007, 8602)]","[1626, 1683, 2811, 5066, 5090, 8058, 9355]"
10,"[(0.9999905955193802, 6622), (0.9999576205062851, 3507), (0.9999433760112061, 7505), (0.9999360444080032, 7576), (0.9999068758732416, 8858), (0.9998987564312396, 1295), (0.9998950605867813, 5870), (0.9998852330776716, 1038), (0.9998671410206587, 9462), (0.9998515210101735, 9744)]","[3507, 5272, 5870, 6622, 6915, 7505, 7576, 8259, 8858, 9462]"
14,"[(0.9999347806889333, 9837), (0.9999314842942101, 1845), (0.9999163978318586, 6903), (0.9998618205761618, 9227), (0.9998226663543938, 310), (0.9997365685962216, 7009), (0.9997345727135144, 939), (0.9997177611877088, 1661), (0.9996755972900448, 8467), (0.9996088316658941, 4238)]","[310, 939, 1661, 1845, 4238, 4549, 6339, 6903, 7009, 7307, 8467, 9227, 9354, 9837]"
8,"[(0.9996918689834241, 9345), (0.999637743145515, 3431), (0.9992470880324394, 7173), (0.9991960394233118, 9381), (0.9987732584187632, 8638), (0.9987305902315208, 1841), (0.9983180819961983, 7926), (0.9981055400496881, 2636), (0.9980546229268075, 5100), (0.9980002747127004, 5386)]","[2535, 2575, 3431, 5103, 7173, 8638, 9345, 9381]"
10,"[(0.9999766194342882, 8111), (0.9999040681114071, 3807), (0.9998997207582419, 1859), (0.9998895602064145, 9144), (0.9998595792188735, 4883), (0.9998301825388747, 8614), (0.9997753786841491, 5795), (0.9997621892770769, 8037), (0.9996961663978947, 8863), (0.9996644943671604, 4948)]","[1859, 3807, 4883, 4948, 5795, 8037, 8111, 8614, 9144, 9333]"
10,"[(0.9999953369948312, 2100), (0.9999594961063649, 5729), (0.9999592283296794, 4490), (0.9999399188105547, 4139), (0.9999363357344419, 5310), (0.9999349474100071, 8958), (0.9999102089272244, 416), (0.999890019229133, 9800), (0.9998872644568575, 5252), (0.9998531065094717, 2645)]","[416, 2100, 3485, 4139, 4490, 5252, 5310, 5729, 8958, 9800]"
9,"[(0.9999729466545775, 4290), (0.9999669229918275, 5291), (0.9999564930288595, 4307), (0.9998766938871979, 8819), (0.9998409370056428, 4342), (0.9998392085358351, 1322), (0.9997639164585643, 2964), (0.9997212086757891, 6990), (0.9995762500632956, 9434), (0.9995321624202311, 2185)]","[1322, 1989, 2964, 4290, 4307, 4342, 5291, 6990, 8819]"
9,"[(0.9999728663253019, 1473), (0.9999205726414809, 4800), (0.9998963351058893, 55), (0.9998691962504083, 948), (0.9998648981381644, 3792), (0.9998271596708386, 5133), (0.999797158336265, 4540), (0.9997922310911368, 6530), (0.999770779462784, 7436), (0.9997614022885316, 9626)]","[55, 948, 1473, 3792, 4540, 4800, 5133, 7436, 9626]"
12,"[(0.9998506351825059, 3828), (0.9998450853271249, 7343), (0.999711663040099, 8650), (0.999619087953345, 242), (0.9993545401540381, 9281), (0.9992624942567252, 8575), (0.9992166441378472, 8049), (0.9991437473059435, 6749), (0.9990052834159614, 5288), (0.9988969447855106, 8581)]","[242, 3484, 3828, 5098, 5288, 6749, 7343, 8049, 8575, 8650, 9281, 9622]"
14,"[(0.9999863839943347, 7751), (0.999976166477007, 204), (0.9999740639959835, 1283), (0.9999677075273004, 1448), (0.9999550672343762, 3377), (0.9999501081808959, 8038), (0.9999492138121221, 5520), (0.999941404019061, 303), (0.9999239810065439, 4792), (0.9999236153799499, 5605)]","[204, 303, 1283, 1448, 3377, 4593, 4792, 5520, 6056, 7751, 8038, 8609, 8657, 9884]"
10,"[(0.9999771170400219, 4548), (0.9999609621868247, 9409), (0.9999544789927135, 4558), (0.9999427944492923, 7744), (0.9998938985226808, 9598), (0.9998925146943701, 9273), (0.999881606721239, 5042), (0.9998740594767654, 418), (0.999869651280173, 806), (0.9998604372859169, 8141)]","[418, 806, 3676, 4548, 4558, 5042, 7744, 8141, 9273, 9409]"
13,"[(0.9999946432138749, 1465), (0.9999848279908922, 5512), (0.9999689017043389, 8615), (0.999967867521068, 1687), (0.9999475717756156, 5169), (0.9998976278494068, 879), (0.999896008406762, 9945), (0.9998880688383165, 345), (0.9998772428696258, 8067), (0.9998683357018235, 925)]","[345, 879, 925, 1465, 1557, 1687, 1941, 2600, 2630, 5169, 5512, 8615, 9945]"
9,"[(0.9994690535228089, 4241), (0.9994527896017708, 5217), (0.999295649773911, 3705), (0.9990190906829104, 5452), (0.998969652290539, 7708), (0.9987896602290869, 665), (0.9987825831145164, 539), (0.9985400821114709, 4244), (0.9984356148655874, 2770), (0.9982585390022329, 7280)]","[539, 665, 3705, 4241, 4244, 5217, 5452, 7280, 7708]"
13,"[(0.9999729466545775, 4283), (0.99993321332918, 8819), (0.9999269314243425, 5291), (0.9999212932243764, 1322), (0.9998733012321182, 4307), (0.9998050644271202, 2964), (0.9996994258200618, 4342), (0.9996582949697521, 1989), (0.9996089493097183, 9434), (0.9995693146594342, 1857)]","[1322, 1857, 1989, 2964, 3434, 4283, 4307, 4342, 4841, 5291, 6990, 8674, 8819]"
14,"[(0.9999803997497176, 5053), (0.9999748087768942, 8302), (0.9999741341237972, 4640), (0.999971333032687, 8883), (0.9999600427828681, 4044), (0.9999508885620956, 6947), (0.9999415353575606, 4045), (0.9999403837908915, 9775), (0.9999282960534488, 7046), (0.999922888680213, 3472)]","[2793, 3472, 4044, 4045, 4640, 5053, 6003, 6259, 6947, 7046, 7574, 8302, 8883, 9775]"
10,"[(0.9999570297173926, 1625), (0.999933589046978, 3370), (0.9999326109696528, 134), (0.9999303245779395, 5543), (0.9999138535633829, 3140), (0.9998917351028869, 438), (0.9998884969033274, 1408), (0.9998855699619406, 3587), (0.9998804133197722, 1480), (0.9998329692134765, 9668)]","[134, 438, 1408, 1480, 1625, 3140, 3370, 5543, 8495, 9814]"
14,"[(0.9999981541569835, 3607), (0.9999959126169932, 3936), (0.999995524578559, 6914), (0.9999880292764922, 8319), (0.9999854936507655, 2286), (0.9999804319538985, 6767), (0.9999750007692206, 8946), (0.9999696733893074, 9817), (0.9999496806904148, 5140), (0.9999488823108281, 2890)]","[712, 2286, 2890, 3607, 3936, 5140, 6725, 6767, 6914, 7251, 8319, 8916, 8946, 9817]"
11,"[(0.9999950113395902, 5959), (0.9999656149224189, 7083), (0.9999497629500352, 1993), (0.9999253726812922, 6799), (0.999915961041706, 4231), (0.9999158902905539, 3181), (0.9999016624951159, 5194), (0.9998973869696347, 7544), (0.9998916084230508, 7078), (0.9998615317206287, 3971)]","[1993, 3181, 4231, 5514, 5778, 5959, 6799, 7083, 7544, 7651, 9717]"
8,"[(0.9998995017643008, 7724), (0.9998195479896046, 8053), (0.9997386301400635, 4378), (0.999682693125805, 3099), (0.9995744641339028, 9929), (0.9994594612197575, 7162), (0.9988278822413706, 9030), (0.9979798084927004, 5642), (0.9977945880848835, 8737), (0.9968796266213878, 4884)]","[3099, 4378, 5642, 7162, 7724, 8053, 9030, 9929]"
